"Address","Updated.Address","lon","lat"
"90-15 Queens Boulevard","90-15 Queens Boulevard, Queens, NY",-73.8708844,40.7342321
"8000 Cooper Avenue at 80th Street","8000 Cooper Avenue at 80th Street, Queens, NY",-73.8695642,40.7085945
"19-38 Cornaga Avenue","19-38 Cornaga Avenue, Queens, NY",-73.7524474,40.6024413
"6509 Cooper Ave","6509 Cooper Ave, Queens, NY",-73.8801587,40.7022063
"92-10 Atlantic Avenue","92-10 Atlantic Avenue, Queens, NY",-73.849809,40.6871551
"1018 Beach 20 St","1018 Beach 20 St, Queens, NY",-73.752905,40.60281
"1826 Stanhope St","1826 Stanhope St, Queens, NY",-73.913564,40.7073616
"1519 Decatur Street","1519 Decatur Street, Queens, NY",-73.9033342,40.6933271
"136-21 Hillside Ave","136-21 Hillside Ave, Queens, NY",-73.7242872,40.7338986
"8315 Parsons Blvd","8315 Parsons Blvd, Queens, NY",-73.8095887,40.7216453
"25501-25927 Union Tpke","25501-25927 Union Tpke, Queens, NY",-73.7156514,40.7457845
"36-21 Prince Street","36-21 Prince Street, Queens, NY",-73.9951782,40.72293
"5301 74th Street","5301 74th Street, Queens, NY",-73.9584414,40.7705669
"120-34 Queens Blvd","120-34 Queens Blvd, Queens, NY",-73.8291753,40.7133248
"13830 86th Ave","13830 86th Ave, Queens, NY",-104.8189778,40.4107003
"2319 Steinway St","2319 Steinway St, Queens, NY",-73.9085313,40.770397
"9030 Trotting Course Lane","9030 Trotting Course Lane, Queens, NY",-73.8552993,40.704378
"124-06 Metropolitan Ave","124-06 Metropolitan Ave, Queens, NY",-73.8278007,40.7048892
"99-01 Queens Blvd","99-01 Queens Blvd, Queens, NY",-73.8542873,40.7275602
"59-16 99th Street","59-16 99th Street, Queens, NY",-73.859551,40.736495
"120-34 Queens Blvd","120-34 Queens Blvd, Queens, NY",-73.8291753,40.7133248
"91-30 Van Wyck Expwy","91-30 Van Wyck Expwy, Queens, NY",-73.8153416,40.6987329
"10313 39th Ave","10313 39th Ave, Queens, NY",-73.8629946,40.7508436
"16619 Jamaica Ave","16619 Jamaica Ave, Queens, NY",-73.793358,40.7062995
"4818 Northern Blvd","4818 Northern Blvd, Queens, NY",-73.9142775,40.7526099
"464 Onderdonk Ave","464 Onderdonk Ave, Queens, NY",-73.9123552,40.7068
"13621 Hillside Ave","13621 Hillside Ave, Queens, NY",-73.817839,40.704237
"153-19 Jamaica Ave","153-19 Jamaica Ave, Queens, NY",-73.8025952,40.7037661
"162-11 Jamaica Ave","162-11 Jamaica Ave, Queens, NY",-73.7975297,40.7046764
"124-06 Metropolitan Ave","124-06 Metropolitan Ave, Queens, NY",-73.8278007,40.7048892
"9131 Queens Blvd","9131 Queens Blvd, Queens, NY",-73.8693691,40.733648
"33-24 Northern Boulevard","33-24 Northern Boulevard, Queens, NY",-73.9302415,40.7517239
"56-40 Myrtle Ave","56-40 Myrtle Ave, Queens, NY",-73.904683,40.6999991
"2719 Thomson Ave","2719 Thomson Ave, Queens, NY",-73.9423117,40.7464785
"279 St Nicholas Ave","279 St Nicholas Ave, Queens, NY",-73.9532297,40.8103147
"23-18 31st Street","23-18 31st Street, Queens, NY",-73.9137994,40.7742262
"5614-5630 Myrtle Avenue","5614-5630 Myrtle Avenue, Queens, NY",-73.9056018,40.6998848
"25-83 31st street","25-83 31st street, Queens, NY",-73.9195175,40.7683875
"106-02 Northern Blvd","106-02 Northern Blvd, Queens, NY",-73.8625352,40.7574907
"1826 Stanhope St","1826 Stanhope St, Queens, NY",-73.913564,40.7073616
"120-34 Queens Blvd","120-34 Queens Blvd, Queens, NY",-73.8291753,40.7133248
"4620 30th Ave","4620 30th Ave, Queens, NY",-73.909691,40.761102
"37-18 Northern Blvd","37-18 Northern Blvd, Queens, NY",-73.9254192,40.7519244
"102-20 Atlantic Avenue","102-20 Atlantic Avenue, Queens, NY",-73.8420079,40.6895496
"7132 Myrtle Ave","7132 Myrtle Ave, Queens, NY",-73.878796,40.701815
"Astoria Plaza","Astoria Plaza, Queens, NY",121.0596004,14.5776761
"156-40 Cross Bay Blvd","156-40 Cross Bay Blvd, Queens, NY",-73.8412631,40.6626764
"2101 Broadway","2101 Broadway, Queens, NY",-73.9819698,40.7797554
"8989 Union Turnpike","8989 Union Turnpike, Queens, NY",-73.8556898,40.7071503
"41-61 Kissena Blvd","41-61 Kissena Blvd, Queens, NY",-73.8270347,40.7577178
"30-71 Steinway Street","30-71 Steinway Street, Queens, NY",-73.9162107,40.7620521
"56-40 Myrtle Ave","56-40 Myrtle Ave, Queens, NY",-73.904683,40.6999991
"35-09 Francis Lewis Blvd","35-09 Francis Lewis Blvd, Queens, NY",-73.7870264,40.7642166
"11709 Hillside Ave","11709 Hillside Ave, Queens, NY",-73.7242872,40.7338986
"161-21 Jamaica Avenue","161-21 Jamaica Avenue, Queens, NY",-73.7980226,40.704557
"1519 Decatur St","1519 Decatur St, Queens, NY",-90.0624389,29.9571302
"136-21 Hillside Ave","136-21 Hillside Ave, Queens, NY",-73.7242872,40.7338986
"176 Woodward Ave","176 Woodward Ave, Queens, NY",-73.9172939,40.7115769
"71-17 Roosevelt Avenue","71-17 Roosevelt Avenue, Queens, NY",-73.89437,40.7471951
"56-03 Center Blvd","56-03 Center Blvd, Queens, NY",-73.9591652,40.7438811
"221-06 Merrick Boulevard","221-06 Merrick Boulevard, Queens, NY",-73.7465946,40.678036
"27-09 Thomson Avenue","27-09 Thomson Avenue, Queens, NY",-73.9424491,40.7465609
"30-16 Steinway Street","30-16 Steinway Street, Queens, NY",-73.9155217,40.7635742
"27-19 Thomson Ave","27-19 Thomson Ave, Queens, NY",-73.9421968,40.7465148
"5623-5629 Myrtle Ave","5623-5629 Myrtle Ave, Queens, NY",-73.9052806,40.7003454
"90-75 Sutphin Blvd","90-75 Sutphin Blvd, Queens, NY",-73.8072372,40.7011807
"One Archer Avenue","One Archer Avenue, Queens, NY",-73.7985175,40.703178
"2121 31st Street","2121 31st Street, Queens, NY",-73.9087982,40.7774492
"31-35 Steinway Street","31-35 Steinway Street, Queens, NY",-73.9175426,40.7602743
"97-01 Northern Blvd","97-01 Northern Blvd, Queens, NY",-73.8711031,40.7573082
"61-01 Woodhaven Boulevard","61-01 Woodhaven Boulevard, Queens, NY",-73.8707127,40.7287168
"71 Parsons Avenue","71 Parsons Avenue, Queens, NY",-82.9816741,39.962712
"21-30 44th Drive","21-30 44th Drive, Queens, NY",-73.9459934,40.7475989
"23-23 Borden Avenue","23-23 Borden Avenue, Queens, NY",-73.9465444,40.7401125
"33-26 Northern Blvd","33-26 Northern Blvd, Queens, NY",-73.9300807,40.7517588
"29-27 Queens Plaza N","29-27 Queens Plaza N, Queens, NY",-73.9362904,40.7500834
"11-08 44th Dr","11-08 44th Dr, Queens, NY",-73.9491235,40.7483165
"77-63 Vleigh Place","77-63 Vleigh Place, Queens, NY",-73.8204721,40.7195071
"28-54 Steinway Street","28-54 Steinway Street, Queens, NY",-73.9148787,40.7643312
"39-01 Queens Blvd","39-01 Queens Blvd, Queens, NY",-73.9256871,40.7445819
"1047 Beach 21st Street","1047 Beach 21st Street, Queens, NY",-73.754138,40.60364
"155-33 Jamaica Avenue","155-33 Jamaica Avenue, Queens, NY",-73.8004063,40.7034359
"35-01 Northern Blvd","35-01 Northern Blvd, Queens, NY",-73.9285652,40.7523147
"22-32 31st Street","22-32 31st Street, Queens, NY",-73.9117045,40.7755384
"1047 Beach 20 St","1047 Beach 20 St, Queens, NY",-73.7532125,40.6035859
"153-19 Jamaica Avenue","153-19 Jamaica Avenue, Queens, NY",-73.8025952,40.7037661
"41-04 27th Street","41-04 27th Street, Queens, NY",-73.90949,40.780399
"70 Rockaway Beach Blvd","70 Rockaway Beach Blvd, Queens, NY",-73.7994473,40.5902653
"26-11 Jackson Avenue","26-11 Jackson Avenue, Queens, NY",-73.942094,40.747518
"94-11 Rockaway Boulevard","94-11 Rockaway Boulevard, Queens, NY",-73.8442037,40.6808679
"21220 Northern Blvd","21220 Northern Blvd, Queens, NY",-73.769882,40.759744
"58-12 Queens Blvd","58-12 Queens Blvd, Queens, NY",-73.873036,40.7340415
"30-12 Astoria Boulevard","30-12 Astoria Boulevard, Queens, NY",-73.9185875,40.7700198
"112-12 Jamaica Avenue","112-12 Jamaica Avenue, Queens, NY",-73.8357954,40.6974671
"3030 Steinway Street","3030 Steinway Street, Queens, NY",144.7176421,-37.8840903
